model,head,circular_r,circular_mean_deg,angular_mae,n_peaks,peaks,is_structured,chi2
poc_a (baseline),coa_phase,0.8478153578642278,152.03075681126572,1.5699115409360993,1,145°:0.266,True,8127.051999999856
poc_a (baseline),polarization_angle,0.49428634514996045,50.755615448283336,0.7835510788582977,1,72°:0.132,True,2645.835999999952
poc_a (baseline),inclination,0.6287938654878662,132.6011827396012,1.5726335596328795,2,165°:0.108; 105°:0.050,True,2352.615999999958
poc_b (PoC),coa_phase,0.9893771858748349,105.75034813167488,1.5410232691030177,1,105°:0.416,True,20811.50799999963
poc_b (PoC),polarization_angle,0.9870500390195533,89.5668738020141,0.800835147673257,1,92°:0.436,True,19718.547999999646
poc_b (PoC),inclination,0.4651295684999268,1.101222953215985,1.59134763750397,0,,True,1859.9919999999668
tcn,coa_phase,0.8556007764249532,334.7822662021224,1.5976788090412142,1,305°:0.201,True,7310.463999999869
tcn,polarization_angle,0.8778899028068525,101.68007399363755,0.801582496914099,2,88°:0.138; 122°:0.081,True,5229.159999999907
tcn,inclination,0.7977826672508906,240.5987101382706,1.5313353057478345,1,225°:0.142,True,4087.7439999999265
cnn_baseline,coa_phase,0.9847891243387503,68.22140355790289,1.5574193268032555,1,65°:0.677,True,34445.03199999938
cnn_baseline,polarization_angle,0.9995878616999772,135.34172114920068,0.7901729204901824,1,138°:0.673,True,38309.775999999314
cnn_baseline,inclination,0.9281821197265485,162.80750196429824,1.559179072778741,1,165°:0.189,True,7260.49599999987
cnn_attention,coa_phase,0.4336688831120351,176.6254159419506,1.60522998183654,3,155°:0.090; 135°:0.083; 255°:0.047,True,1495.1319999999732
cnn_attention,polarization_angle,0.17199603250200005,98.93308958117036,0.7909881658476686,2,147°:0.085; 78°:0.064,True,1153.4919999999793
cnn_attention,inclination,0.36825516257843804,34.50805249251161,1.5346010048816703,2,345°:0.122; 145°:0.068,True,2107.599999999962
inception_time,coa_phase,0.900326794642647,349.76381288884113,1.5793266767882237,1,325°:0.169,True,6076.923999999892
inception_time,polarization_angle,0.6389403477564353,166.86192994600486,0.7675061029468979,1,97°:0.057,True,11919.651999999787
inception_time,inclination,0.9890064273440557,157.89844990423245,1.5743470373916295,1,155°:0.496,True,25586.151999999543
resnet1d,coa_phase,0.998579493640926,350.54949067025143,1.5849811858129748,0,,True,34242.06399999938
resnet1d,polarization_angle,0.9975590511309732,110.07840248838095,0.8007584627001083,1,112°:0.539,True,34053.963999999396
resnet1d,inclination,0.467220706983716,357.30117065990885,1.5917746231934762,1,335°:0.059,True,1009.9959999999819
