model,head,mae,r2,bias,std_ratio
poc_a (baseline),mchirp,0.977294981591932,0.9594083041401003,0.12750871643613246,0.9851536751594752
poc_a (baseline),merger_time,0.01315224148333074,0.914085419077645,0.004970522636175235,0.994095592160907
poc_a (baseline),snr,0.8304901248042426,0.7850475546962444,0.07455194166522466,0.9255152520123763
poc_b (PoC),mchirp,1.0241930542937179,0.9568528180983323,-0.07808761034335777,0.9760855305923908
poc_b (PoC),merger_time,0.012755232381820676,0.9189536632348013,-0.0002554027177392638,0.990690372582282
poc_b (PoC),snr,0.8350791004125835,0.7824990168235251,0.10478565056781283,0.9126962088916039
tcn,mchirp,0.9505236292977647,0.9629113215015094,0.1067775593179454,0.9911316504725942
tcn,merger_time,0.012803133609145891,0.9206437076237525,0.003540084639191706,0.954937017102197
tcn,snr,0.8374202418992813,0.7841361870135841,0.12059815433078892,0.9338375870229885
cnn_baseline,mchirp,2.5142377040459323,0.7895178117103081,1.0561971234112086,1.0148581905388165
cnn_baseline,merger_time,0.019134182021394344,0.796303224666567,-0.009805143362656154,0.936370307553486
cnn_baseline,snr,1.0960566370679352,0.645759859786969,-0.5916422662563223,0.7877314117273059
cnn_attention,mchirp,1.3632225637188353,0.9262552821728378,-0.21142257791253044,0.9859033530371522
cnn_attention,merger_time,0.012965988690219813,0.9088749614671185,-0.0009425898799671937,1.007223136140265
cnn_attention,snr,0.8796421569422974,0.7550520055155596,0.2874525529814396,0.9408960282015961
inception_time,mchirp,1.5452022440838196,0.8918825515490775,0.5277814640640319,0.9518032646562109
inception_time,merger_time,0.04920225982964038,-0.001055537831561093,-0.0016365275949238854,0.019686498761075363
inception_time,snr,0.8713134317217897,0.7537582556445914,-0.03742772021614997,0.9797778040075732
resnet1d,mchirp,1.6766911825948276,0.8917181744508791,0.4583763191940187,0.9746560296569289
resnet1d,merger_time,0.015452723647281504,0.8697465632471969,-0.007552408664300955,0.9328397348634393
resnet1d,snr,0.9446557558914476,0.7213812322201397,0.2565281226882532,0.8940612015067569
